Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.75,0.8378033205619412,0.7884615384615384,0.7068965517241379,0.7454545454545455,0.5041595978992284
Decision Tree,0.6964285714285714,0.7337164750957854,0.8333333333333334,0.5172413793103449,0.6382978723404256,0.4345284216832323
KNN,0.6875,0.7978927203065134,0.7090909090909091,0.6724137931034483,0.6902654867256637,0.375937493208995
Naive Bayes,0.6696428571428571,0.7554278416347382,0.8181818181818182,0.46551724137931033,0.5934065934065934,0.3884557787689058
Random Forest,0.7589285714285714,0.8263090676883781,0.7719298245614035,0.7586206896551724,0.7652173913043478,0.5176321001570373
XGBoost,0.6785714285714286,0.7697956577266922,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.3563218390804598
